label,line
借款发生在夫妻关系存续期间,该借贷发生在其夫妻关系存续期间，属夫妻共同债务，依法应共同偿还。
借款发生在夫妻关系存续期间,该借款系夫妻关系存续期间所借，系夫妻共同债务，现应由两被告共同承担。
借款发生在夫妻关系存续期间,该借款系两被告夫妻关系存续期间所借，属夫妻共同债务，被告项××、林××应共同承担偿还责任。
借款发生在夫妻关系存续期间,且借款事实发生在两被告婚姻关系存续期间，
借款发生在夫妻关系存续期间,其认为，被告董新华系被告沈利华之妻，根据我国婚姻法的相关规定，该欠款属夫妻共同债务，两被告应承担共同还款责任。
被告向原告还款及支付利息,被告立即给付借款利息17000元。
双方又约定逾期利息,如被告不按期归还本金又未获展期，从逾期之日起计收日利率万分之三罚息
原被告双方确认结欠款,确认结欠原告借款人民币450万元
二被告共同承担责任,判令被告邬玉燕对上述款项承担共同偿还责任。
违约金,共计161000元，其中141000元双方某某如逾期归还应承担逾期违约金。
违约金,判令被告支付原告违约金3万元（从2008年4月29日计算至2008年9月15日）；
违约金,借款人如逾期还款，应向出借人支付借款总额10%的违约金，
违约金,判令被告支付违约金7万元，
双方约定逾期支付所应承担的不利后果,如逾期未能归还，本人自愿支付赔偿金20000元，并承担一切费用（包括律师费、诉讼费）。
被告承担提供抵押的义务,二、原告对被告张××所有的坐落于瑞安市东山街道××人民路××、××号的房屋享有优先受偿权；
借款金额,向李甲借人民币伍万元，
法院作出判决,法院于2007年2月12日作出（2007）建民一初字第477号民事判决，支持了原告的诉讼请求。
原告放弃诉讼请求,庭审中，原告放弃对被告孙乙的诉讼请求。
原告为此债务的担保人,由原告作为担保人
原告为此债务的担保人,由原告为其提供连带责任保证担保，
双方约定借款抵押,并以其居住的房屋作抵押
双方约定借款抵押,并于当日在舟山市海韵公证处办理了抵押借款合同公证
双方约定借款抵押,并在杭州市钱塘公证处签订了××份房屋抵押借款合同
双方约定借款抵押,谢宗禄于2009年1月20日出具承诺书，表示在2009年4月30日前归还借款，否则同意配合王云龙处置其父亲遗留的房产用以还款
